Name,Conf_ID
12S004501.SW,Ab10-I
12S004801.SW,Ab10-I
12S019801.SW,Ab10-I
12S026701.SW,Ab10-I
13S005405.SW,Ab10-III
13S008409.SW,Ab10-I
13S024101.SW,Ab10-I
13S043207.SW,Ab10-I
13S047701.SW,Ab10-I
CIM11362_01.SW,Ab10-II
CIM11362_02.SW,Ab10-II
DMA-2008-1_01.SW,Ab10-II
DMA-2008-1_02.SW,Ab10-II
DMA-2008-1_03.SW,Ab10-II
JSG-JMHC-637_04.SW,Ab10-II
JSG-RMM-LCL-511_01.SW,Ab10-II
RIMMA0396.1.SW,Ab10-III
RIMMA0731.1.SW,Ab10-III
SEEDGWAS1117.RN,Ab10-I
SEEDGWAS1187.RN,Ab10-I
SEEDGWAS1838.RN,Ab10-III
SEEDGWAS237.RN,Ab10-III
SEEDGWAS239.RN,Ab10-III
SEEDGWAS259.RN,Ab10-III
SEEDGWAS297.RN,Ab10-III
SEEDGWAS307.RN,Ab10-III
SEEDGWAS3165.RN,Ab10-I
SEEDGWAS3168.RN,Ab10-I
SEEDGWAS3320.RN,Ab10-III
SEEDGWAS348.RN,Ab10-III
SEEDGWAS399.RN,Ab10-III
SEEDGWAS425.RN,Ab10-III
SEEDGWAS4517.RN,Ab10-II
SEEDGWAS5052.RN,Ab10-I
SEEDGWAS539.RN,Ab10-III
SEEDGWAS65.RN,Ab10-III
SEEDGWAS723.RN,Ab10-III
SEEDGWAS828.RN,Ab10-III
SEEDGWAS832.RN,Ab10-III
SEEDGWAS834.RN,Ab10-III
SEEDGWAS857.RN,Ab10-III
SEEDGWAS860.RN,Ab10-III
SEEDGWAS888.RN,Ab10-III
SEEDGWAS889.RN,Ab10-III
SEEDGWAS905.RN,Ab10-III
SEEDGWAS944.RN,Ab10-III
SEEDGWAS949.RN,Ab10-III
12S001301.SW,Ambiguous
12S003301.SW,Ambiguous
12S009801.SW,Ambiguous
12S019401.SW,Ambiguous
12S020001.SW,Ambiguous
12S020401.SW,Ambiguous
12S022301.SW,Ambiguous
12S022401.SW,Ambiguous
12S022701.SW,Ambiguous
12S023401.SW,Ambiguous
12S025401.SW,Ambiguous
12S027201.SW,Ambiguous
12S033601.SW,Ambiguous
12S034301.SW,Ambiguous
12S034401.SW,Ambiguous
12S034601.SW,Ambiguous
12S037001.SW,Ambiguous
12S037301.SW,Ambiguous
12S037401.SW,Ambiguous
12S037501.SW,Ambiguous
13S002401.SW,Ambiguous
13S002402.SW,Ambiguous
13S002406.SW,Ambiguous
13S002704.SW,Ambiguous
13S003901.SW,Ambiguous
13S003904.SW,Ambiguous
13S003905.SW,Ambiguous
13S006401.SW,Ambiguous
13S006403.SW,Ambiguous
13S007208.SW,Ambiguous
13S008304.SW,Ambiguous
13S008306.SW,Ambiguous
13S008503.SW,Ambiguous
13S008507.SW,Ambiguous
13S009809.SW,Ambiguous
13S022611.SW,Ambiguous
13S024307.SW,Ambiguous
13S026002.SW,Ambiguous
13S026004.SW,Ambiguous
13S027802.SW,Ambiguous
13S028802.SW,Ambiguous
13S034507.SW,Ambiguous
13S036307.SW,Ambiguous
13S039114.SW,Ambiguous
13S040501.SW,Ambiguous
13S042404.SW,Ambiguous
13S043111.SW,Ambiguous
13S045302.SW,Ambiguous
13S047702.SW,Ambiguous
13S047706.SW,Ambiguous
13S048206.SW,Ambiguous
13S053005.SW,Ambiguous
Ab10-I-Jal_het.1.DC2,Ambiguous
Ab10-I-Jal_het.2.DC2,Ambiguous
Ab10-I-Jal_het.3.DC2,Ambiguous
Ab10-I-Jal_het.4.DC2,Ambiguous
Ab10-I-Jal_het.5.DC2,Ambiguous
JSG-LCL-JGRF-586_03.SW,Ambiguous
JSG-RMM-LCL-483_03.SW,Ambiguous
JSG-RMM-LCL-536_01.SW,Ambiguous
JSG-RMM-LCL-536_04.SW,Ambiguous
JSG-SRV-EAM-708_02.SW,Ambiguous
JSG_Y_RMM-457_02.SW,Ambiguous
NSL68244.1.RY,Ambiguous
PI639505.1.RY,Ambiguous
RIMMA0404.1.SW,Ambiguous
RIMMA0433.1.SW,Ambiguous
RIMMA0614.1.SW,Ambiguous
RIMMA0680.1.SW,Ambiguous
RIMMA0687.1.SW,Ambiguous
RIMMA0701.1.SW,Ambiguous
RIMMA0709.1.SW,Ambiguous
RIMMA0729.1.SW,Ambiguous
12S001301.RN,Ambiguous
SEEDGWAS1087.RN,Ambiguous
SEEDGWAS1130.RN,Ambiguous
SEEDGWAS1169.RN,Ambiguous
SEEDGWAS1186.RN,Ambiguous
SEEDGWAS1206.RN,Ambiguous
SEEDGWAS1209.RN,Ambiguous
SEEDGWAS1235.RN,Ambiguous
SEEDGWAS1236.RN,Ambiguous
SEEDGWAS1265.RN,Ambiguous
SEEDGWAS1267.RN,Ambiguous
SEEDGWAS1268.RN,Ambiguous
SEEDGWAS1277.RN,Ambiguous
SEEDGWAS1278.RN,Ambiguous
SEEDGWAS1301.RN,Ambiguous
SEEDGWAS1327.RN,Ambiguous
SEEDGWAS1361.RN,Ambiguous
SEEDGWAS137.RN,Ambiguous
SEEDGWAS1370.RN,Ambiguous
SEEDGWAS1371.RN,Ambiguous
SEEDGWAS1388.RN,Ambiguous
SEEDGWAS139.RN,Ambiguous
SEEDGWAS1393.RN,Ambiguous
SEEDGWAS1417.RN,Ambiguous
SEEDGWAS1422.RN,Ambiguous
SEEDGWAS1425.RN,Ambiguous
SEEDGWAS1434.RN,Ambiguous
SEEDGWAS1439.RN,Ambiguous
SEEDGWAS1466.RN,Ambiguous
SEEDGWAS1506.RN,Ambiguous
SEEDGWAS1518.RN,Ambiguous
SEEDGWAS1519.RN,Ambiguous
SEEDGWAS1526.RN,Ambiguous
SEEDGWAS1538.RN,Ambiguous
SEEDGWAS1545.RN,Ambiguous
SEEDGWAS1569.RN,Ambiguous
SEEDGWAS1623.RN,Ambiguous
SEEDGWAS1626.RN,Ambiguous
SEEDGWAS1638.RN,Ambiguous
SEEDGWAS164.RN,Ambiguous
SEEDGWAS1693.RN,Ambiguous
SEEDGWAS1696.RN,Ambiguous
SEEDGWAS1697.RN,Ambiguous
SEEDGWAS1698.RN,Ambiguous
SEEDGWAS1722.RN,Ambiguous
SEEDGWAS1760.RN,Ambiguous
SEEDGWAS1761.RN,Ambiguous
SEEDGWAS1794.RN,Ambiguous
SEEDGWAS1827.RN,Ambiguous
SEEDGWAS183.RN,Ambiguous
SEEDGWAS187.RN,Ambiguous
SEEDGWAS195.RN,Ambiguous
SEEDGWAS1976.RN,Ambiguous
SEEDGWAS198.RN,Ambiguous
SEEDGWAS1993.RN,Ambiguous
SEEDGWAS1996.RN,Ambiguous
SEEDGWAS2022.RN,Ambiguous
SEEDGWAS2044.RN,Ambiguous
SEEDGWAS2048.RN,Ambiguous
SEEDGWAS2058.RN,Ambiguous
SEEDGWAS2068.RN,Ambiguous
SEEDGWAS2082.RN,Ambiguous
SEEDGWAS2131.RN,Ambiguous
SEEDGWAS2141.RN,Ambiguous
SEEDGWAS2159.RN,Ambiguous
SEEDGWAS2165.RN,Ambiguous
SEEDGWAS2214.RN,Ambiguous
SEEDGWAS222.RN,Ambiguous
SEEDGWAS2220.RN,Ambiguous
SEEDGWAS2225.RN,Ambiguous
SEEDGWAS2233.RN,Ambiguous
SEEDGWAS2250.RN,Ambiguous
SEEDGWAS2261.RN,Ambiguous
SEEDGWAS2276.RN,Ambiguous
SEEDGWAS2287.RN,Ambiguous
SEEDGWAS2293.RN,Ambiguous
SEEDGWAS2310.RN,Ambiguous
SEEDGWAS2361.RN,Ambiguous
SEEDGWAS2370.RN,Ambiguous
SEEDGWAS238.RN,Ambiguous
SEEDGWAS2402.RN,Ambiguous
SEEDGWAS2426.RN,Ambiguous
SEEDGWAS2459.RN,Ambiguous
SEEDGWAS2478.RN,Ambiguous
SEEDGWAS2479.RN,Ambiguous
SEEDGWAS2486.RN,Ambiguous
SEEDGWAS2520.RN,Ambiguous
SEEDGWAS2523.RN,Ambiguous
SEEDGWAS2557.RN,Ambiguous
SEEDGWAS257.RN,Ambiguous
SEEDGWAS2572.RN,Ambiguous
SEEDGWAS2579.RN,Ambiguous
SEEDGWAS2643.RN,Ambiguous
SEEDGWAS2649.RN,Ambiguous
SEEDGWAS2652.RN,Ambiguous
SEEDGWAS2667.RN,Ambiguous
SEEDGWAS2682.RN,Ambiguous
SEEDGWAS2700.RN,Ambiguous
SEEDGWAS2715.RN,Ambiguous
SEEDGWAS2720.RN,Ambiguous
SEEDGWAS2723.RN,Ambiguous
SEEDGWAS2731.RN,Ambiguous
SEEDGWAS2744.RN,Ambiguous
SEEDGWAS2746.RN,Ambiguous
SEEDGWAS2748.RN,Ambiguous
SEEDGWAS2772.RN,Ambiguous
SEEDGWAS2776.RN,Ambiguous
SEEDGWAS2779.RN,Ambiguous
SEEDGWAS2806.RN,Ambiguous
SEEDGWAS2812.RN,Ambiguous
SEEDGWAS2814.RN,Ambiguous
SEEDGWAS2815.RN,Ambiguous
SEEDGWAS2823.RN,Ambiguous
SEEDGWAS2832.RN,Ambiguous
SEEDGWAS2868.RN,Ambiguous
SEEDGWAS2893.RN,Ambiguous
SEEDGWAS291.RN,Ambiguous
SEEDGWAS2910.RN,Ambiguous
SEEDGWAS2913.RN,Ambiguous
SEEDGWAS292.RN,Ambiguous
SEEDGWAS2937.RN,Ambiguous
SEEDGWAS2944.RN,Ambiguous
SEEDGWAS2949.RN,Ambiguous
SEEDGWAS2961.RN,Ambiguous
SEEDGWAS2970.RN,Ambiguous
SEEDGWAS306.RN,Ambiguous
SEEDGWAS3068.RN,Ambiguous
SEEDGWAS3078.RN,Ambiguous
SEEDGWAS3089.RN,Ambiguous
SEEDGWAS3096.RN,Ambiguous
SEEDGWAS3111.RN,Ambiguous
SEEDGWAS3114.RN,Ambiguous
SEEDGWAS3123.RN,Ambiguous
SEEDGWAS3126.RN,Ambiguous
SEEDGWAS313.RN,Ambiguous
SEEDGWAS3205.RN,Ambiguous
SEEDGWAS3225.RN,Ambiguous
SEEDGWAS3294.RN,Ambiguous
SEEDGWAS3331.RN,Ambiguous
SEEDGWAS3381.RN,Ambiguous
SEEDGWAS3447.RN,Ambiguous
SEEDGWAS3536.RN,Ambiguous
SEEDGWAS3605.RN,Ambiguous
SEEDGWAS3628.RN,Ambiguous
SEEDGWAS3641.RN,Ambiguous
SEEDGWAS3652.RN,Ambiguous
SEEDGWAS3668.RN,Ambiguous
SEEDGWAS3670.RN,Ambiguous
SEEDGWAS3701.RN,Ambiguous
SEEDGWAS3717.RN,Ambiguous
SEEDGWAS3733.RN,Ambiguous
SEEDGWAS3757.RN,Ambiguous
SEEDGWAS3780.RN,Ambiguous
SEEDGWAS3787.RN,Ambiguous
SEEDGWAS3801.RN,Ambiguous
SEEDGWAS383.RN,Ambiguous
SEEDGWAS3841.RN,Ambiguous
SEEDGWAS3874.RN,Ambiguous
SEEDGWAS388.RN,Ambiguous
SEEDGWAS3886.RN,Ambiguous
SEEDGWAS389.RN,Ambiguous
SEEDGWAS3915.RN,Ambiguous
SEEDGWAS394.RN,Ambiguous
SEEDGWAS3962.RN,Ambiguous
SEEDGWAS3986.RN,Ambiguous
SEEDGWAS3995.RN,Ambiguous
SEEDGWAS4029.RN,Ambiguous
SEEDGWAS4045.RN,Ambiguous
SEEDGWAS415.RN,Ambiguous
SEEDGWAS4154.RN,Ambiguous
SEEDGWAS4194.RN,Ambiguous
SEEDGWAS4215.RN,Ambiguous
SEEDGWAS4224.RN,Ambiguous
SEEDGWAS4231.RN,Ambiguous
SEEDGWAS427.RN,Ambiguous
SEEDGWAS4296.RN,Ambiguous
SEEDGWAS4300.RN,Ambiguous
SEEDGWAS4307.RN,Ambiguous
SEEDGWAS4312.RN,Ambiguous
SEEDGWAS4319.RN,Ambiguous
SEEDGWAS4325.RN,Ambiguous
SEEDGWAS433.RN,Ambiguous
SEEDGWAS4333.RN,Ambiguous
SEEDGWAS4354.RN,Ambiguous
SEEDGWAS4355.RN,Ambiguous
SEEDGWAS4377.RN,Ambiguous
SEEDGWAS4391.RN,Ambiguous
SEEDGWAS4402.RN,Ambiguous
SEEDGWAS4420.RN,Ambiguous
SEEDGWAS4443.RN,Ambiguous
SEEDGWAS4445.RN,Ambiguous
SEEDGWAS4446.RN,Ambiguous
SEEDGWAS4447.RN,Ambiguous
SEEDGWAS4461.RN,Ambiguous
SEEDGWAS4469.RN,Ambiguous
SEEDGWAS4472.RN,Ambiguous
SEEDGWAS4473.RN,Ambiguous
SEEDGWAS449.RN,Ambiguous
SEEDGWAS4502.RN,Ambiguous
SEEDGWAS4508.RN,Ambiguous
SEEDGWAS4514.RN,Ambiguous
SEEDGWAS4529.RN,Ambiguous
SEEDGWAS4548.RN,Ambiguous
SEEDGWAS4567.RN,Ambiguous
SEEDGWAS4579.RN,Ambiguous
SEEDGWAS4580.RN,Ambiguous
SEEDGWAS4594.RN,Ambiguous
SEEDGWAS4599.RN,Ambiguous
SEEDGWAS4617.RN,Ambiguous
SEEDGWAS4639.RN,Ambiguous
SEEDGWAS4646.RN,Ambiguous
SEEDGWAS4664.RN,Ambiguous
SEEDGWAS4665.RN,Ambiguous
SEEDGWAS467.RN,Ambiguous
SEEDGWAS4675.RN,Ambiguous
SEEDGWAS4684.RN,Ambiguous
SEEDGWAS475.RN,Ambiguous
SEEDGWAS4754.RN,Ambiguous
SEEDGWAS4767.RN,Ambiguous
SEEDGWAS4795.RN,Ambiguous
SEEDGWAS4811.RN,Ambiguous
SEEDGWAS4815.RN,Ambiguous
SEEDGWAS4821.RN,Ambiguous
SEEDGWAS4823.RN,Ambiguous
SEEDGWAS4835.RN,Ambiguous
SEEDGWAS4857.RN,Ambiguous
SEEDGWAS4859.RN,Ambiguous
SEEDGWAS487.RN,Ambiguous
SEEDGWAS4876.RN,Ambiguous
SEEDGWAS4882.RN,Ambiguous
SEEDGWAS4914.RN,Ambiguous
SEEDGWAS4924.RN,Ambiguous
SEEDGWAS4931.RN,Ambiguous
SEEDGWAS4942.RN,Ambiguous
SEEDGWAS4967.RN,Ambiguous
SEEDGWAS4992.RN,Ambiguous
SEEDGWAS4998.RN,Ambiguous
SEEDGWAS4999.RN,Ambiguous
SEEDGWAS5006.RN,Ambiguous
SEEDGWAS5009.RN,Ambiguous
SEEDGWAS5037.RN,Ambiguous
SEEDGWAS5056.RN,Ambiguous
SEEDGWAS5081.RN,Ambiguous
SEEDGWAS5087.RN,Ambiguous
SEEDGWAS5095.RN,Ambiguous
SEEDGWAS5100.RN,Ambiguous
SEEDGWAS5101.RN,Ambiguous
SEEDGWAS5143.RN,Ambiguous
SEEDGWAS5154.RN,Ambiguous
SEEDGWAS5196.RN,Ambiguous
SEEDGWAS521.RN,Ambiguous
SEEDGWAS5232.RN,Ambiguous
SEEDGWAS5235.RN,Ambiguous
SEEDGWAS5252.RN,Ambiguous
SEEDGWAS5266.RN,Ambiguous
SEEDGWAS5274.RN,Ambiguous
SEEDGWAS5276.RN,Ambiguous
SEEDGWAS5310.RN,Ambiguous
SEEDGWAS5324.RN,Ambiguous
SEEDGWAS5365.RN,Ambiguous
SEEDGWAS5367.RN,Ambiguous
SEEDGWAS572.RN,Ambiguous
SEEDGWAS612.RN,Ambiguous
SEEDGWAS620.RN,Ambiguous
SEEDGWAS662.RN,Ambiguous
SEEDGWAS714.RN,Ambiguous
SEEDGWAS715.RN,Ambiguous
SEEDGWAS733.RN,Ambiguous
SEEDGWAS768.RN,Ambiguous
SEEDGWAS793.RN,Ambiguous
SEEDGWAS801.RN,Ambiguous
SEEDGWAS826.RN,Ambiguous
SEEDGWAS858.RN,Ambiguous
SEEDGWAS897.RN,Ambiguous
SEEDGWAS903.RN,Ambiguous
SEEDGWAS915.RN,Ambiguous
SEEDGWAS948.RN,Ambiguous
SEEDGWAS963.RN,Ambiguous
SEEDGWAS999.RN,Ambiguous
